Date,Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,7
2020-02-26,11
2020-02-27,23
2020-02-28,31
2020-02-29,56
2020-03-01,82
2020-03-02,118
2020-03-03,162
2020-03-04,224
2020-03-05,276
2020-03-06,387
2020-03-07,485
2020-03-08,625
2020-03-09,1169
2020-03-10,1524
2020-03-11,2039
2020-03-12,2871
2020-03-13,4906
2020-03-14,5678
2020-03-15,7177
2020-03-16,9070
2020-03-17,10265
2020-03-18,13050
2020-03-19,16139
2020-03-20,18890
2020-03-21,21990
2020-03-22,24421
2020-03-23,29470
2020-03-24,35273
2020-03-25,40501
2020-03-26,46406
2020-03-27,51224
2020-03-28,54968
2020-03-29,58598
2020-03-30,63460
2020-03-31,68200
2020-04-01,72084
2020-04-02,74974
2020-04-03,77488
2020-04-04,80002
2020-04-05,80925
2020-04-06,82897
2020-04-07,84689
2020-04-08,85407
2020-04-09,85610
2020-04-10,86524
2020-04-11,87312
2020-04-12,87231
2020-04-13,87616
2020-04-14,88301
2020-04-15,90994
2020-04-16,91021
2020-04-17,96564
2020-04-18,98382
2020-04-19,98338
2020-04-20,97464
2020-04-21,98958
2020-04-22,99440
2020-04-23,100106
2020-04-24,88111
2020-04-25,87295
2020-04-26,85712
2020-04-27,85069
2020-04-28,84403
2020-04-29,79695
2020-04-30,76842
2020-05-01,75714
2020-05-02,74234
2020-05-03,73300
2020-05-04,71240
2020-05-05,70230
2020-05-06,68466
2020-05-07,66866
2020-05-08,65410
2020-05-09,63148
2020-05-10,61603
2020-05-11,63553
2020-05-12,62194
2020-05-13,60902
2020-05-14,59068
2020-05-15,58206
2020-05-16,56996
2020-05-17,54466
2020-05-18,53887
2020-05-19,54461
2020-05-20,55116
2020-05-21,55657
2020-05-22,57374
2020-05-23,57790
2020-05-24,58198
2020-05-25,57754
2020-05-26,58538
2020-05-27,59006
2020-05-28,60106
2020-05-29,60734
2020-05-30,61360
2020-05-31,61521
2020-06-01,61702
2020-06-02,61976
2020-06-03,62340
2020-06-04,62649
2020-06-05,62937
2020-06-06,63254
2020-06-07,63475
2020-06-08,63630
2020-06-09,63862
2020-06-10,64166
2020-06-11,64570
2020-06-12,65056
2020-06-13,65443
2020-06-14,65759
2020-06-15,65932
2020-06-16,66144
2020-06-17,66493
2020-06-18,67075
2020-06-19,67382
2020-06-20,67738
2020-06-21,68071
2020-06-22,68302
2020-06-23,68549
2020-06-24,68881
2020-06-25,69278
2020-06-26,69689
2020-06-27,70250
