Date,Currently Infected
2020-01-22,554
2020-01-23,771
2020-01-24,1208
2020-01-25,1870
2020-01-26,2613
2020-01-27,4349
2020-01-28,5739
2020-01-29,7417
2020-01-30,9308
2020-01-31,11289
2020-02-01,13748
2020-02-02,16369
2020-02-03,19383
2020-02-04,22942
2020-02-05,26302
2020-02-06,28985
2020-02-07,31774
2020-02-08,33738
2020-02-09,35982
2020-02-10,37626
2020-02-11,38791
2020-02-12,51591
2020-02-13,55748
2020-02-14,56873
2020-02-15,57416
2020-02-16,57934
2020-02-17,58016
2020-02-18,57805
2020-02-19,56301
2020-02-20,54921
2020-02-21,53284
2020-02-22,52093
2020-02-23,49824
2020-02-24,47765
2020-02-25,45600
2020-02-26,43258
2020-02-27,39919
2020-02-28,37414
2020-02-29,35129
2020-03-01,32616
2020-03-02,30004
2020-03-03,27423
2020-03-04,25353
2020-03-05,23784
2020-03-06,22179
2020-03-07,20533
2020-03-08,19016
2020-03-09,17721
2020-03-10,16136
2020-03-11,14831
2020-03-12,13524
2020-03-13,12088
2020-03-14,10733
2020-03-15,9893
2020-03-16,8967
2020-03-17,8056
2020-03-18,7263
2020-03-19,6569
2020-03-20,6013
2020-03-21,5353
2020-03-22,5120
2020-03-23,4735
2020-03-24,4287
2020-03-25,3947
2020-03-26,3460
2020-03-27,3128
2020-03-28,2691
2020-03-29,2691
2020-03-30,2161
2020-03-31,2004
2020-04-01,1863
2020-04-02,1727
2020-04-03,1558
2020-04-04,1376
2020-04-05,1299
2020-04-06,1242
2020-04-07,1190
2020-04-08,1160
2020-04-09,1116
2020-04-10,1089
2020-04-11,1138
2020-04-12,1156
2020-04-13,1170
2020-04-14,1137
2020-04-15,1107
2020-04-16,1081
2020-04-17,66
2020-04-18,1058
2020-04-19,1041
2020-04-20,1031
2020-04-21,1003
2020-04-22,1005
2020-04-23,959
2020-04-24,915
2020-04-25,838
2020-04-26,801
2020-04-27,723
2020-04-28,648
2020-04-29,647
2020-04-30,619
2020-05-01,599
2020-05-02,557
2020-05-03,531
2020-05-04,481
2020-05-05,395
2020-05-06,339
2020-05-07,295
2020-05-08,260
2020-05-09,208
2020-05-10,148
2020-05-11,141
2020-05-12,115
2020-05-13,104
2020-05-14,101
2020-05-15,91
2020-05-16,89
2020-05-17,86
2020-05-18,82
2020-05-19,85
2020-05-20,87
2020-05-21,84
2020-05-22,82
