Date,Percent (%)
2020-02-15,100.0
2020-02-16,100.0
2020-02-17,5.26
2020-02-18,4.76
2020-02-19,4.76
2020-02-20,4.76
2020-02-21,4.35
2020-02-22,4.35
2020-02-23,4.17
2020-02-24,4.17
2020-02-25,4.17
2020-02-26,11.54
2020-02-27,11.11
2020-02-28,13.51
2020-02-29,13.51
2020-03-01,12.5
2020-03-02,12.5
2020-03-03,12.24
2020-03-04,12.24
2020-03-05,12.24
2020-03-06,10.91
2020-03-07,7.32
2020-03-08,8.43
2020-03-09,9.68
2020-03-10,10.53
2020-03-11,11.28
2020-03-12,13.87
2020-03-13,15.11
2020-03-14,13.25
2020-03-15,14.29
2020-03-16,16.28
2020-03-17,16.76
2020-03-18,13.18
2020-03-19,14.73
2020-03-20,14.0
2020-03-21,14.34
2020-03-22,14.86
2020-03-23,15.16
2020-03-24,13.11
2020-03-25,12.68
2020-03-26,11.58
2020-03-27,11.64
2020-03-28,11.4
2020-03-29,11.3
2020-03-30,11.67
2020-03-31,11.85
2020-04-01,10.78
2020-04-02,11.78
2020-04-03,11.84
2020-04-04,13.03
2020-04-05,12.88
2020-04-06,13.45
2020-04-07,13.01
2020-04-08,12.95
2020-04-09,12.63
2020-04-10,12.63
2020-04-11,12.41
2020-04-12,13.56
2020-04-13,15.18
2020-04-14,14.61
2020-04-15,16.5
2020-04-16,16.89
2020-04-17,16.89
2020-04-18,17.2
2020-04-19,16.92
2020-04-20,17.51
2020-04-21,17.17
2020-04-22,17.35
2020-04-23,18.0
2020-04-24,18.4
2020-04-25,17.86
2020-04-26,17.06
2020-04-27,16.86
2020-04-28,17.18
2020-04-29,14.85
2020-04-30,14.88
2020-05-01,13.27
2020-05-02,12.88
2020-05-03,10.9
2020-05-04,11.42
2020-05-05,11.01
2020-05-06,11.01
2020-05-07,10.5
2020-05-08,10.29
2020-05-09,9.32
2020-05-10,7.13
2020-05-11,7.09
2020-05-12,7.15
2020-05-13,7.06
2020-05-14,6.6
2020-05-15,6.45
2020-05-16,6.55
2020-05-17,6.25
2020-05-18,6.08
2020-05-19,6.23
2020-05-20,5.9
2020-05-21,5.78
2020-05-22,5.77
2020-05-23,5.75
2020-05-24,5.76
2020-05-25,5.75
2020-05-26,5.77
2020-05-27,5.79
2020-05-28,5.77
2020-05-29,5.78
2020-05-30,5.79
2020-05-31,5.8
2020-06-01,5.79
2020-06-02,5.75
2020-06-03,5.74
2020-06-04,5.73
2020-06-05,5.71
2020-06-06,5.72
2020-06-07,5.71
2020-06-08,5.7
2020-06-09,5.68
2020-06-10,5.67
2020-06-11,5.64
2020-06-12,5.62
2020-06-13,5.6
2020-06-14,5.58
2020-06-15,5.57
2020-06-16,5.57
2020-06-17,5.55
2020-06-18,5.54
2020-06-19,5.52
2020-06-20,5.59
2020-06-21,5.59
