Date,Currently Infected
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,3
2020-02-28,11
2020-02-29,14
2020-03-01,14
2020-03-02,19
2020-03-03,31
2020-03-04,61
2020-03-05,86
2020-03-06,145
2020-03-07,178
2020-03-08,224
2020-03-09,325
2020-03-10,423
2020-03-11,618
2020-03-12,769
2020-03-13,921
2020-03-14,991
2020-03-15,1059
2020-03-16,1138
2020-03-17,1256
2020-03-18,1385
2020-03-19,1526
2020-03-20,1701
2020-03-21,1831
2020-03-22,1947
2020-03-23,2123
2020-03-24,2340
2020-03-25,2632
2020-03-26,2903
2020-03-27,3241
2020-03-28,3541
2020-03-29,3817
2020-03-30,4197
2020-03-31,4638
2020-04-01,4978
2020-04-02,5463
2020-04-03,5912
2020-04-04,6254
2020-04-05,6566
2020-04-06,6879
2020-04-07,7503
2020-04-08,8062
2020-04-09,8601
2020-04-10,8802
2020-04-11,9180
2020-04-12,9632
2020-04-13,10049
2020-04-14,10415
2020-04-15,10849
2020-04-16,11173
2020-04-17,11794
2020-04-18,12215
2020-04-19,12574
2020-04-20,12995
2020-04-21,13516
2020-04-22,14066
2020-04-23,14740
2020-04-24,15395
2020-04-25,15373
2020-04-26,15671
2020-04-27,16167
2020-04-28,16847
2020-04-29,17570
2020-04-30,18124
2020-05-01,18589
2020-05-02,18871
2020-05-03,19123
2020-05-04,16465
2020-05-05,17042
2020-05-06,17706
2020-05-07,17531
2020-05-08,18109
2020-05-09,18573
2020-05-10,18846
2020-05-11,19301
2020-05-12,20044
2020-05-13,20618
2020-05-14,21235
2020-05-15,21829
2020-05-16,22159
2020-05-17,22413
2020-05-18,22851
2020-05-19,23495
2020-05-20,24232
2020-05-21,24806
2020-05-22,25281
2020-05-23,25617
2020-05-24,25821
2020-05-25,26295
2020-05-26,26956
2020-05-27,27677
2020-05-28,28402
2020-05-29,29094
2020-05-30,29481
2020-05-31,29746
2020-06-01,30382
2020-06-02,27880
2020-06-03,28876
2020-06-04,29898
2020-06-05,30964
2020-06-06,31773
2020-06-07,32232
2020-06-08,32740
2020-06-09,33652
2020-06-10,35061
2020-06-11,36389
2020-06-12,37740
2020-06-13,38830
2020-06-14,39073
2020-06-15,39195
2020-06-16,40087
2020-06-17,41224
2020-06-18,42693
2020-06-19,42693
2020-06-20,42693
2020-06-21,42693
