,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
27,27,Ecuador,"54,574",,"4,424",,"26,920",,"23,230",288,"3,094",251,"144,751","8,206","17,639,528",323,"3,987",122
28,28,Indonesia,"54,010","+1,198","2,754",+34,"22,936","+1,027","28,320",,197,10,"770,600","2,818","273,492,454","5,064","99,307",355
29,29,Netherlands,"50,147",+73,"6,105",,N/A,N/A,N/A,29,"2,927",356,"577,437","33,700","17,134,624",342,"2,807",30
30,30,UAE,"47,797",+437,313,+2,"36,411",+577,"11,073",1,"4,833",32,"3,136,000","317,119","9,889,022",207,"31,594",3
31,31,Iraq,"45,402","+2,140","1,756",+96,"21,122","+1,184","22,524",324,"1,129",44,"520,948","12,957","40,207,143",886,"22,897",77
32,32,Kuwait,"44,942",+551,348,+4,"35,494",+908,"9,100",149,"10,526",82,"379,338","88,843","4,269,753",95,"12,269",11
33,33,Singapore,"43,459",+213,26,,"37,508",+345,"5,925",1,"7,429",4,"684,359","116,986","5,849,910",135,"224,997",9
34,34,Ukraine,"42,982",+917,"1,129",+19,"18,934",+233,"22,919",386,983,26,"641,911","14,677","43,734,422","1,018","38,737",68
35,35,Portugal,"41,646",+457,"1,564",+3,"27,066",+202,"13,016",67,"4,084",153,"1,102,066","108,079","10,196,828",245,"6,520",9
36,36,Oman,"38,150","+1,197",163,+4,"21,200",+837,"16,787",118,"7,474",32,"182,753","35,804","5,104,207",134,"31,314",28
37,37,Philippines,"35,455",+652,"1,244",+8,"9,686",+256,"24,525",149,324,11,"689,900","6,297","109,563,304","3,090","88,073",159
38,38,Poland,"33,907",+193,"1,438",+3,"20,548",+576,"11,921",83,896,38,"1,493,993","39,475","37,846,814","1,116","26,319",25
39,39,Switzerland,"31,617",+62,"1,962",,"29,100",,555,11,"3,653",227,"562,909","65,046","8,654,046",274,"4,411",15
40,40,Dominican Republic,"31,373",+754,726,+8,"17,142",+476,"13,505",201,"2,892",67,"146,060","13,466","10,846,769",346,"14,940",74
41,41,Afghanistan,"30,967",+351,721,+18,"12,604","+1,930","17,642",19,796,19,"70,788","1,819","38,913,398","1,257","53,971",550
42,42,Bolivia,"30,676","+1,253",970,+36,"8,158",+422,"21,548",71,"2,628",83,"70,872","6,072","11,671,053",380,"12,032",165
43,43,Panama,"30,658",,592,,"15,370",,"14,696",148,"7,107",137,"122,668","28,436","4,313,853",141,"7,287",35
44,44,Romania,"26,313",+291,"1,612",+23,"18,814",+284,"5,887",217,"1,368",84,"694,909","36,122","19,237,972",731,"11,934",28
45,45,Ireland,"25,439",+2,"1,735",+1,"23,364",,340,12,"5,153",351,"419,021","84,871","4,937,175",194,"2,846",12
46,46,Bahrain,"25,267",,82,+4,"19,781",,"5,404",42,"14,861",48,"529,242","311,288","1,700,168",67,"20,734",3
47,47,Armenia,"24,645",+736,426,+5,"13,116",+205,"11,103",10,"8,317",144,"109,173","36,843","2,963,208",120,"6,956",27
48,48,Nigeria,"24,077",,558,,"8,625",,"14,894",7,117,3,"127,158",617,"206,046,230","8,558","369,258","1,620"
49,49,Israel,"23,639",+218,318,+1,"17,047",+45,"6,274",39,"2,570",35,"949,012","103,181","9,197,590",389,"28,923",10
50,50,Kazakhstan,"20,780",+461,178,+12,"12,824",+86,"7,778",121,"1,107",9,"1,467,556","78,169","18,774,127",903,"105,473",13
51,51,Japan,"18,297",,971,,"16,452",,874,48,145,8,"446,589","3,531","126,477,987","6,912","130,255",283
52,52,Austria,"17,654",+74,702,+2,"16,401",+30,551,9,"1,960",78,"602,520","66,902","9,005,972",510,"12,829",15
53,53,Honduras,"17,007","+1,013",479,+8,"1,767",+89,"14,761",13,"1,717",48,"21,540","2,175","9,902,474",582,"20,673",460
